Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency
NVDA,NVIDIA CORP,Information Technology,Equity,"3,190,184,522.91",11.3,"3,190,184,522.91","16,566,363.00",192.57,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"2,636,417,498.40",9.33,"2,636,417,498.40","5,046,741.00",522.4,United States,NASDAQ,USD
AAPL,APPLE INC,Information Technology,Equity,"2,559,681,127.92",9.06,"2,559,681,127.92","10,075,898.00",254.04,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"1,500,633,062.12",5.31,"1,500,633,062.12","6,589,238.00",227.74,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,"1,101,796,183.54",3.9,"1,101,796,183.54","3,193,427.00",345.02,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"1,080,197,633.42",3.82,"1,080,197,633.42","1,472,642.00",733.51,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"953,912,107.68",3.38,"953,912,107.68","3,949,456.00",241.53,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"829,800,825.42",2.94,"829,800,825.42","1,905,223.00",435.54,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"767,936,977.82",2.72,"767,936,977.82","3,170,542.00",242.21,United States,NASDAQ,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"618,445,273.92",2.19,"618,445,273.92","1,245,008.00",496.74,United States,New York Stock Exchange Inc.,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"570,401,900.78",2.02,"570,401,900.78","1,866,926.00",305.53,United States,New York Stock Exchange Inc.,USD
LLY,ELI LILLY,Health Care,Equity,"461,685,426.70",1.63,"461,685,426.70","539,762.00",855.35,United States,New York Stock Exchange Inc.,USD
V,VISA INC CLASS A,Financials,Equity,"400,237,067.52",1.42,"400,237,067.52","1,153,288.00",347.04,United States,New York Stock Exchange Inc.,USD
NFLX,NETFLIX INC,Communication,Equity,"355,188,316.40",1.26,"355,188,316.40","288,520.00","1,231.07",United States,NASDAQ,USD
ORCL,ORACLE CORP,Information Technology,Equity,"334,132,858.88",1.18,"334,132,858.88","1,125,178.00",296.96,United States,New York Stock Exchange Inc.,USD
XOM,EXXON MOBIL CORP,Energy,Equity,"326,821,608.12",1.16,"326,821,608.12","2,894,532.00",112.91,United States,New York Stock Exchange Inc.,USD
MA,MASTERCARD INC CLASS A,Financials,Equity,"316,425,194.05",1.12,"316,425,194.05","560,491.00",564.55,United States,New York Stock Exchange Inc.,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"312,438,920.68",1.11,"312,438,920.68","1,635,121.00",191.08,United States,New York Stock Exchange Inc.,USD
WMT,WALMART INC,Consumer Staples,Equity,"303,282,029.21",1.07,"303,282,029.21","2,980,073.00",101.77,United States,New York Stock Exchange Inc.,USD
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"286,384,412.47",1.01,"286,384,412.47","1,544,101.00",185.47,United States,NASDAQ,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"283,889,092.76",1.01,"283,889,092.76","301,084.00",942.89,United States,NASDAQ,USD
ABBV,ABBVIE INC,Health Care,Equity,"276,691,200.83",0.98,"276,691,200.83","1,199,407.00",230.69,United States,New York Stock Exchange Inc.,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"256,607,051.82",0.91,"256,607,051.82","1,101,838.00",232.89,United States,NASDAQ,USD
